scenario,farm_type,number_of_farms,metric,value,error_high,error_low
Average,Breed,760,burden_of_amr_at_farm_level_median,8548.68013903083,444.9031177194647,240.42622825818762
Average,Nurse,483,burden_of_amr_at_farm_level_median,42376.531629593155,0.0,0.0
Average,Fat,1116,burden_of_amr_at_farm_level_median,0.0,0.0,0.0
Average,Total,2359,burden_of_amr_at_farm_level_median,,,
Worse,Breed,760,burden_of_amr_at_farm_level_median,192320.20092740544,6482.665747773688,3502.2117651342414
Worse,Nurse,483,burden_of_amr_at_farm_level_median,583624.7694883592,0.0,0.0
Worse,Fat,1116,burden_of_amr_at_farm_level_median,0.0,0.0,0.0
Worse,Total,2359,burden_of_amr_at_farm_level_median,,,
Best,Breed,760,burden_of_amr_at_farm_level_median,4274.340069515415,222.45155885973236,120.21311412909381
Best,Nurse,483,burden_of_amr_at_farm_level_median,21188.265814796578,0.0,0.0
Best,Fat,1116,burden_of_amr_at_farm_level_median,0.0,0.0,0.0
Best,Total,2359,burden_of_amr_at_farm_level_median,,,
Average,Breed,760,ahle_at_farm_level_median_withoutamr,4200137.614091036,346752.08433718514,356825.9331539385
Average,Nurse,483,ahle_at_farm_level_median_withoutamr,651046.8735927896,32786.16861732432,33216.78904160822
Average,Fat,1116,ahle_at_farm_level_median_withoutamr,1076592.5643644766,81857.9096783176,80412.0864732624
Average,Total,2359,ahle_at_farm_level_median_withoutamr,,,
Worse,Breed,760,ahle_at_farm_level_median_withoutamr,4016366.0933026616,346752.08433718514,356825.9331539385
Worse,Nurse,483,ahle_at_farm_level_median_withoutamr,109798.63573402353,32786.16861732432,33216.78904160822
Worse,Fat,1116,ahle_at_farm_level_median_withoutamr,1076592.5643644766,81857.9096783176,80412.0864732624
Worse,Total,2359,ahle_at_farm_level_median_withoutamr,,,
Best,Breed,760,ahle_at_farm_level_median_withoutamr,4204411.954160552,346752.08433718514,356825.9331539385
Best,Nurse,483,ahle_at_farm_level_median_withoutamr,672235.1394075862,32786.16861732432,33216.78904160822
Best,Fat,1116,ahle_at_farm_level_median_withoutamr,1076592.5643644766,81857.9096783176,80412.0864732624
Best,Total,2359,ahle_at_farm_level_median_withoutamr,,,
